MatchID,StatName,StatValue
g_1_APYL8Fu5,Home: Sytuacje bramkowe,11
g_1_APYL8Fu5,Away: Sytuacje bramkowe,13
g_1_APYL8Fu5,Home: Strzały na bramkę,5
g_1_APYL8Fu5,Away: Strzały na bramkę,5
g_1_APYL8Fu5,Home: Strzały niecelne,3
g_1_APYL8Fu5,Away: Strzały niecelne,6
g_1_APYL8Fu5,Home: Strzały zablokowane,3
g_1_APYL8Fu5,Away: Strzały zablokowane,2
g_1_APYL8Fu5,Home: Rzuty wolne,16
g_1_APYL8Fu5,Away: Rzuty wolne,22
g_1_APYL8Fu5,Home: Rzuty rożne,4
g_1_APYL8Fu5,Away: Rzuty rożne,4
g_1_APYL8Fu5,Home: Spalone,3
g_1_APYL8Fu5,Away: Spalone,1
g_1_APYL8Fu5,Home: Interwencje bramkarzy,3
g_1_APYL8Fu5,Away: Interwencje bramkarzy,3
g_1_APYL8Fu5,Home: Faule,19
g_1_APYL8Fu5,Away: Faule,17
g_1_APYL8Fu5,Home: Żółte kartki,3
g_1_APYL8Fu5,Away: Żółte kartki,3
g_1_APYL8Fu5,Home: Podania celne,342
g_1_APYL8Fu5,Away: Podania celne,329
g_1_APYL8Fu5,Home: Bloki,11
g_1_APYL8Fu5,Away: Bloki,7
g_1_APYL8Fu5,Home: Ataki,118
g_1_APYL8Fu5,Away: Ataki,94
g_1_lGXP7ZfB,MatchDate,16.05.2021 20:45
g_1_lGXP7ZfB,HomeTeam,AC Milan
g_1_lGXP7ZfB,AwayTeam,Cagliari
g_1_lGXP7ZfB,Goals,"0
-
0"
g_1_lGXP7ZfB,Home: Posiadanie piłki,62%
g_1_lGXP7ZfB,Away: Posiadanie piłki,38%
g_1_lGXP7ZfB,Home: Sytuacje bramkowe,20
g_1_lGXP7ZfB,Away: Sytuacje bramkowe,6
g_1_lGXP7ZfB,Home: Strzały na bramkę,4
g_1_lGXP7ZfB,Away: Strzały na bramkę,2
g_1_lGXP7ZfB,Home: Strzały niecelne,11
g_1_lGXP7ZfB,Away: Strzały niecelne,3
g_1_lGXP7ZfB,Home: Strzały zablokowane,5
g_1_lGXP7ZfB,Away: Strzały zablokowane,1
g_1_lGXP7ZfB,Home: Rzuty wolne,8
g_1_lGXP7ZfB,Away: Rzuty wolne,9
g_1_lGXP7ZfB,Home: Rzuty rożne,9
g_1_lGXP7ZfB,Away: Rzuty rożne,7
g_1_lGXP7ZfB,Home: Spalone,1
g_1_lGXP7ZfB,Away: Spalone,0
g_1_lGXP7ZfB,Home: Interwencje bramkarzy,2
g_1_lGXP7ZfB,Away: Interwencje bramkarzy,4
g_1_lGXP7ZfB,Home: Faule,8
g_1_lGXP7ZfB,Away: Faule,8
g_1_lGXP7ZfB,Home: Żółte kartki,2
g_1_lGXP7ZfB,Away: Żółte kartki,2
g_1_lGXP7ZfB,Home: Podania celne,502
g_1_lGXP7ZfB,Away: Podania celne,282
g_1_lGXP7ZfB,Home: Bloki,13
g_1_lGXP7ZfB,Away: Bloki,13
g_1_lGXP7ZfB,Home: Ataki,156
g_1_lGXP7ZfB,Away: Ataki,90
g_1_fgfiOfuh,MatchDate,16.05.2021 18:00
g_1_fgfiOfuh,HomeTeam,Parma
g_1_fgfiOfuh,AwayTeam,Sassuolo
g_1_fgfiOfuh,Goals,"1
-
3"
g_1_fgfiOfuh,Home: Posiadanie piłki,46%
g_1_fgfiOfuh,Away: Posiadanie piłki,54%
g_1_fgfiOfuh,Home: Sytuacje bramkowe,16
g_1_fgfiOfuh,Away: Sytuacje bramkowe,15
g_1_fgfiOfuh,Home: Strzały na bramkę,8
g_1_fgfiOfuh,Away: Strzały na bramkę,12
g_1_fgfiOfuh,Home: Strzały niecelne,7
g_1_fgfiOfuh,Away: Strzały niecelne,3
g_1_fgfiOfuh,Home: Strzały zablokowane,1
g_1_fgfiOfuh,Away: Strzały zablokowane,0
g_1_fgfiOfuh,Home: Rzuty wolne,15
g_1_fgfiOfuh,Away: Rzuty wolne,14
g_1_fgfiOfuh,Home: Rzuty rożne,2
g_1_fgfiOfuh,Away: Rzuty rożne,12
g_1_fgfiOfuh,Home: Spalone,2
g_1_fgfiOfuh,Away: Spalone,2
g_1_fgfiOfuh,Home: Interwencje bramkarzy,9
g_1_fgfiOfuh,Away: Interwencje bramkarzy,7
g_1_fgfiOfuh,Home: Faule,13
g_1_fgfiOfuh,Away: Faule,13
g_1_fgfiOfuh,Home: Żółte kartki,1
g_1_fgfiOfuh,Away: Żółte kartki,0
g_1_fgfiOfuh,Home: Podania celne,279
g_1_fgfiOfuh,Away: Podania celne,625
g_1_fgfiOfuh,Home: Bloki,18
g_1_fgfiOfuh,Away: Bloki,10
g_1_fgfiOfuh,Home: Ataki,76
g_1_fgfiOfuh,Away: Ataki,141
g_1_6iSU6gAH,MatchDate,16.05.2021 15:00
g_1_6iSU6gAH,HomeTeam,Benevento
g_1_6iSU6gAH,AwayTeam,Crotone
g_1_6iSU6gAH,Goals,"1
-
1"
g_1_6iSU6gAH,Home: Posiadanie piłki,49%
g_1_6iSU6gAH,Away: Posiadanie piłki,51%
g_1_6iSU6gAH,Home: Sytuacje bramkowe,19
g_1_6iSU6gAH,Away: Sytuacje bramkowe,6
g_1_6iSU6gAH,Home: Strzały na bramkę,11
g_1_6iSU6gAH,Away: Strzały na bramkę,2
g_1_6iSU6gAH,Home: Strzały niecelne,6
g_1_6iSU6gAH,Away: Strzały niecelne,3
g_1_6iSU6gAH,Home: Strzały zablokowane,2
g_1_6iSU6gAH,Away: Strzały zablokowane,1
g_1_6iSU6gAH,Home: Rzuty wolne,22
g_1_6iSU6gAH,Away: Rzuty wolne,15
g_1_6iSU6gAH,Home: Rzuty rożne,8
g_1_6iSU6gAH,Away: Rzuty rożne,4
g_1_6iSU6gAH,Home: Spalone,3
g_1_6iSU6gAH,Away: Spalone,3
g_1_6iSU6gAH,Home: Interwencje bramkarzy,1
g_1_6iSU6gAH,Away: Interwencje bramkarzy,10
g_1_6iSU6gAH,Home: Faule,12
g_1_6iSU6gAH,Away: Faule,19
g_1_6iSU6gAH,Home: Czerwone kartki,0
g_1_6iSU6gAH,Away: Czerwone kartki,1
g_1_6iSU6gAH,Home: Żółte kartki,2
g_1_6iSU6gAH,Away: Żółte kartki,2
g_1_6iSU6gAH,Home: Podania celne,387
g_1_6iSU6gAH,Away: Podania celne,316
g_1_6iSU6gAH,Home: Bloki,14
g_1_6iSU6gAH,Away: Bloki,12
g_1_6iSU6gAH,Home: Ataki,89
g_1_6iSU6gAH,Away: Ataki,90
g_1_G2emPzQo,MatchDate,16.05.2021 15:00
g_1_G2emPzQo,HomeTeam,Udinese
g_1_G2emPzQo,AwayTeam,Sampdoria
g_1_G2emPzQo,Goals,"0
-
1"
g_1_G2emPzQo,Home: Posiadanie piłki,55%
g_1_G2emPzQo,Away: Posiadanie piłki,45%
g_1_G2emPzQo,Home: Sytuacje bramkowe,9
g_1_G2emPzQo,Away: Sytuacje bramkowe,15
g_1_G2emPzQo,Home: Strzały na bramkę,2
g_1_G2emPzQo,Away: Strzały na bramkę,6
g_1_G2emPzQo,Home: Strzały niecelne,5
g_1_G2emPzQo,Away: Strzały niecelne,4
g_1_G2emPzQo,Home: Strzały zablokowane,2
g_1_G2emPzQo,Away: Strzały zablokowane,5
g_1_G2emPzQo,Home: Rzuty wolne,14
g_1_G2emPzQo,Away: Rzuty wolne,14
g_1_G2emPzQo,Home: Rzuty rożne,6
g_1_G2emPzQo,Away: Rzuty rożne,3
g_1_G2emPzQo,Home: Spalone,3
g_1_G2emPzQo,Away: Spalone,1
g_1_G2emPzQo,Home: Interwencje bramkarzy,5
g_1_G2emPzQo,Away: Interwencje bramkarzy,2
g_1_G2emPzQo,Home: Faule,12
g_1_G2emPzQo,Away: Faule,13
g_1_G2emPzQo,Home: Żółte kartki,3
g_1_G2emPzQo,Away: Żółte kartki,1
g_1_G2emPzQo,Home: Podania celne,449
g_1_G2emPzQo,Away: Podania celne,415
g_1_G2emPzQo,Home: Bloki,7
g_1_G2emPzQo,Away: Bloki,18
g_1_G2emPzQo,Home: Ataki,71
g_1_G2emPzQo,Away: Ataki,78
g_1_EcH40imo,MatchDate,16.05.2021 12:30
g_1_EcH40imo,HomeTeam,Fiorentina
g_1_EcH40imo,AwayTeam,Napoli
g_1_EcH40imo,Goals,"0
-
2"
g_1_v5Qx5XvU,MatchDate,15.05.2021 20:45
g_1_v5Qx5XvU,HomeTeam,AS Roma
g_1_v5Qx5XvU,AwayTeam,Lazio
g_1_v5Qx5XvU,Goals,"2
-
0"
g_1_v5Qx5XvU,Home: Posiadanie piłki,48%
g_1_v5Qx5XvU,Away: Posiadanie piłki,52%
g_1_v5Qx5XvU,Home: Sytuacje bramkowe,13
g_1_v5Qx5XvU,Away: Sytuacje bramkowe,10
g_1_v5Qx5XvU,Home: Strzały na bramkę,2
g_1_v5Qx5XvU,Away: Strzały na bramkę,5
g_1_v5Qx5XvU,Home: Strzały niecelne,7
g_1_v5Qx5XvU,Away: Strzały niecelne,4
g_1_v5Qx5XvU,Home: Strzały zablokowane,4
